DAYTRIPS (000'),YEAR ENDING JUNE 1999,YEAR ENDING JUNE 2000,YEAR ENDING JUNE 2001,YEAR ENDING JUNE 2002,YEAR ENDING JUNE 2003,YEAR ENDING JUNE 2004,YEAR ENDING JUNE 2005,YEAR ENDING JUNE 2006,YEAR ENDING JUNE 2007,YEAR ENDING JUNE 2008,YEAR ENDING JUNE 2009,YEAR ENDING JUNE 2010,YEAR ENDING JUNE 2011,YEAR ENDING JUNE 2012,YEAR ENDING JUNE 2013,YEAR ENDING JUNE 2014,YEAR ENDING JUNE 2015,YEAR ENDING JUNE 2016,YEAR ENDING JUNE 2017,YEAR ENDING JUNE 2018,YEAR ENDING JUNE 2019,YEAR ENDING JUNE 2020,Total for Region
     Capricorn, 948 ," 1,344 "," 1,000 "," 1,230 ", 742 ," 1,063 "," 1,231 ", 772 ," 1,370 "," 1,420 "," 1,035 "," 1,550 "," 1,129 "," 1,278 "," 1,339 "," 1,258 "," 1,322 "," 1,225 "," 1,436 "," 1,379 "," 1,519 "," 1,399 "," 26,991 "
     Gladstone, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , 412 , np , 556 , np , np , 968 
     Unknown Region QLD - Offshore and Migratory QLD, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total QLD," 28,140 "," 30,938 "," 26,262 "," 26,036 "," 24,249 "," 31,001 "," 30,599 "," 27,747 "," 29,761 "," 29,340 "," 32,217 "," 34,365 "," 34,701 "," 37,293 "," 38,634 "," 37,406 "," 38,501 "," 41,179 "," 39,486 "," 43,075 "," 48,508 "," 44,036 "," 753,474 "
     Adelaide," 3,025 "," 4,049 "," 4,004 "," 3,272 "," 3,608 "," 3,026 "," 2,998 "," 3,392 "," 3,337 "," 3,446 "," 3,466 "," 3,377 "," 3,525 "," 4,011 "," 4,167 "," 4,277 "," 3,981 "," 4,786 "," 4,771 "," 4,763 "," 5,319 "," 6,033 "," 86,631 "
     Adelaide Hills, 738 , 937 , 804 , 853 , 761 , 951 , 560 , 695 , 778 , 754 , 740 , 873 , 838 , 918 , 870 , 981 , 974 ," 1,305 "," 1,126 "," 1,210 "," 1,338 "," 1,456 "," 20,460 "
     Barossa, 806 , 810 , 701 , 754 , 526 , 745 , 665 , 624 , 658 , 660 , 636 , 676 , 721 , 688 , 679 , 829 , 661 , 732 , 852 , 873 , 918 , 822 ," 16,038 "
     Clare Valley, 190 , np , 295 , 290 , 319 , np , 259 , 187 , 295 , 228 , 232 , 220 , 218 , 336 , 206 , 244 , 294 , 335 , 355 , 234 , 309 , np ," 5,048 "
     Eyre Peninsula, 311 , 422 , 408 , 420 , 390 , 334 , 340 , 431 , 322 , 261 , 304 , 351 , 440 , 361 , 320 , 298 , 341 , 400 , 406 , 376 , 642 , 522 ," 8,398 "
     Fleurieu Peninsula," 2,691 "," 2,743 "," 2,602 "," 2,262 "," 2,409 "," 2,129 "," 2,196 "," 2,209 "," 2,055 "," 2,278 "," 2,311 "," 2,358 "," 2,388 "," 2,270 "," 2,227 "," 2,544 "," 2,082 "," 2,736 "," 2,503 "," 2,571 "," 3,090 "," 2,904 "," 53,559 "
     Limestone Coast, 664 , 752 , 589 , 626 , 604 , 683 , 508 , 571 , 518 , 516 , 505 , 584 , 524 , 634 , 582 , 494 , 838 , 706 , 692 , 861 , 765 , 606 ," 13,822 "
"     Murray River, Lakes and Coorong", 830 , 844 , 767 , 747 , 683 , 615 , 644 , 719 , 811 , 731 , 618 , 601 , 751 , 830 , 716 , 726 , 931 , 713 , 776 , 918 ," 1,014 "," 1,148 "," 17,133 "
     Riverland, 348 , 324 , 390 , 332 , 313 , 273 , 354 , 357 , 292 , 352 , 340 , 320 , 286 , 474 , 416 , 480 , 423 , 541 , 440 , 325 , 438 , np ," 7,821 "
     Yorke Peninsula, 728 , 773 , 603 , 514 , 606 , 670 , 631 , 618 , 630 , 666 , 490 , 501 , 634 , 656 , 507 , 486 , 572 , 506 , 597 , 742 , 701 , 633 ," 13,466 "
     Flinders Ranges and Outback, 475 , 602 , 471 , 452 , 520 , 479 , 463 , 408 , 505 , 372 , 478 , 456 , 476 , 480 , 557 , 593 , 653 , 762 , 610 , 582 , 679 , 624 ," 11,697 "
     Kangaroo Island, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Unknown Region SA - Offshore and Migratory SA, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total SA," 10,841 "," 12,634 "," 11,737 "," 10,557 "," 10,858 "," 10,162 "," 9,675 "," 10,266 "," 10,246 "," 10,302 "," 10,176 "," 10,381 "," 10,835 "," 11,705 "," 11,403 "," 11,984 "," 11,810 "," 13,533 "," 13,156 "," 13,517 "," 15,292 "," 15,520 "," 256,590 "
     Destination Perth," 9,479 "," 9,600 "," 8,424 "," 8,759 "," 8,611 "," 8,830 "," 8,000 "," 8,093 "," 9,077 "," 8,889 "," 8,503 "," 8,219 "," 9,138 "," 9,625 "," 9,928 "," 11,868 "," 14,118 "," 14,160 "," 12,724 "," 13,214 "," 15,290 "," 13,899 "," 228,446 "
     Australia's Golden Outback, 901 ," 1,002 ", 700 , 705 , 816 , 734 , 672 , 685 , 627 , 727 , 552 , 606 , 529 , 662 , 740 , 880 ," 1,045 ", 961 ," 1,015 ", 828 , 879 ," 1,062 "," 17,326 "
     Australia's North West, 425 , 493 , 284 , 381 , 328 , 356 , 267 , 362 , 295 , 323 , 244 , 274 , 246 , 237 , np , 450 , np , np , 438 , 587 , 588 , 425 ," 7,002 "
     Australia's South West," 2,410 "," 2,575 "," 2,199 "," 1,928 "," 2,358 "," 2,271 "," 2,081 "," 2,484 "," 2,428 "," 2,303 "," 2,308 "," 2,479 "," 2,825 "," 2,941 "," 2,980 "," 3,498 "," 3,561 "," 3,632 "," 3,512 "," 3,372 "," 4,252 "," 3,648 "," 62,044 "
     Australia's Coral Coast, 713 , 814 , 541 , 707 , 525 , 546 , 608 , 710 , 589 , 809 , 666 , 773 , 709 , 690 , 793 , 851 ," 1,043 "," 1,000 "," 1,055 "," 1,206 "," 1,394 ", 951 ," 17,691 "
     Unknown Region WA - Offshore and Migratory WA, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total WA," 13,983 "," 14,567 "," 12,174 "," 12,548 "," 12,673 "," 12,792 "," 11,633 "," 12,348 "," 13,016 "," 13,050 "," 12,300 "," 12,360 "," 13,447 "," 14,154 "," 14,717 "," 17,547 "," 20,227 "," 20,108 "," 18,744 "," 19,217 "," 22,494 "," 19,984 "," 334,082 "
     Hobart and the South," 2,321 "," 2,216 "," 2,044 "," 1,830 "," 1,780 "," 1,776 "," 1,586 "," 1,788 "," 1,848 "," 1,814 "," 1,746 "," 1,800 "," 1,730 "," 2,007 "," 2,033 "," 2,259 "," 1,935 "," 2,111 "," 1,972 "," 2,568 "," 2,798 "," 2,533 "," 44,494 "
     East Coast, 293 , 293 , 284 , 238 , 261 , 178 , 312 , 261 , 258 , 204 , 248 , 265 , 175 , 237 , 214 , 296 , np , 387 , 287 , 359 , 441 , np ," 5,491 "
     Launceston and the North," 1,760 "," 1,836 "," 1,795 "," 1,614 "," 1,622 "," 1,483 "," 1,350 "," 1,344 "," 1,459 "," 1,367 "," 1,480 "," 1,579 "," 1,436 "," 1,584 "," 1,727 "," 1,533 "," 1,887 "," 2,023 "," 2,191 "," 1,859 "," 2,133 "," 1,632 "," 36,692 "
     North West," 1,029 "," 1,322 "," 1,003 ", 983 , 969 , 859 , 796 , 836 , 869 , 775 , 887 , 917 , 826 ," 1,001 ", 907 ," 1,053 "," 1,200 "," 1,228 "," 1,152 "," 1,192 "," 1,278 "," 1,233 "," 22,316 "
     West Coast, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Unknown Region TAS - Offshore and Migratory TAS, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total TAS," 5,479 "," 5,726 "," 5,189 "," 4,732 "," 4,702 "," 4,344 "," 4,083 "," 4,277 "," 4,487 "," 4,219 "," 4,399 "," 4,626 "," 4,192 "," 4,889 "," 4,912 "," 5,164 "," 5,314 "," 5,756 "," 5,644 "," 6,007 "," 6,756 "," 5,715 "," 110,613 "
     Darwin, 311 , 319 , 318 , 395 , 531 , 439 , 387 , 330 , 305 , 432 , 449 , 420 , 360 , 516 , 419 , 392 , 660 , 557 , 640 , 475 , 546 , 609 ," 9,812 "
     Barkly, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Alice Springs, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Litchfield Kakadu Arnhem, 200 , 289 , 188 , np , 221 , 195 , 286 , 193 , 278 , 247 , 273 , 345 , 237 , 335 , 299 , 361 , 430 , 413 , 450 , 342 , 496 , 421 ," 6,499 "
     Katherine Daly, 192 , np , np , 179 , 181 , 199 , 201 , 172 , 192 , 148 , 176 , 197 , 205 , 131 , 153 , np , np , 248 , 243 , np , np , np ," 2,817 "
     Lasseter, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     MacDonnell, np , np , np , np , np , np , np , np , 95 , np , np , 118 , np , np , np , np , np , np , np , np , np , np , 213 
     Unknown Region NT - Offshore and Migratory NT, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total NT, 859 ," 1,062 ", 777 , 875 ," 1,107 ", 974 ," 1,017 ", 857 , 928 , 931 ," 1,020 "," 1,135 ", 930 ," 1,112 "," 1,011 "," 1,174 "," 1,453 "," 1,574 "," 1,573 "," 1,238 "," 1,299 "," 1,457 "," 24,362 "
     ACT," 1,824 "," 1,966 "," 1,893 "," 1,994 "," 2,023 "," 1,735 "," 1,459 "," 1,271 "," 1,658 "," 1,440 "," 1,490 "," 1,670 "," 1,515 "," 1,715 "," 1,819 "," 1,780 "," 1,780 "," 1,959 "," 2,101 "," 2,093 "," 2,313 "," 2,259 "," 39,759 "
     Other, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , -   
     Total," 160,316 "," 167,054 "," 152,765 "," 142,302 "," 143,260 "," 137,900 "," 131,151 "," 131,601 "," 139,539 "," 140,745 "," 144,725 "," 155,075 "," 156,287 "," 168,847 "," 167,857 "," 171,279 "," 175,815 "," 188,198 "," 187,070 "," 201,861 "," 227,319 "," 206,543 "," 3,597,510 "
,,,,,,,,,,,,,,,,,,,,,,,
‘np’ = the estimate is unreliable and cannot be published. ‘-’ = not available.  ,,,,,,,,,,,,,,,,,,,,,,,
